Sample description: Diamond Light Source Ltd
Parent(s): sample_avg.dat
 4.000000e-003 -2.547336e-002  1.015145e-002
 8.493216e-002  1.374764e-002  2.859904e-004
 8.517374e-002  1.331111e-002  2.799637e-004
 8.541533e-002  1.327322e-002  2.819495e-004
 8.565692e-002  1.298143e-002  2.792107e-004
 8.589851e-002  1.266842e-002  2.822533e-004
 8.614010e-002  1.265629e-002  2.782246e-004
 8.638169e-002  1.260868e-002  2.808803e-004
 8.662328e-002  1.287084e-002  2.829733e-004
 8.686486e-002  1.256531e-002  2.802457e-004
 8.710645e-002  1.206764e-002  2.789734e-004
 8.734804e-002  1.248301e-002  2.786047e-004
 8.758963e-002  1.122856e-002  2.761130e-004
 8.783122e-002  1.159772e-002  2.765826e-004
 8.807281e-002  1.167507e-002  2.749829e-004
 8.831440e-002  1.165490e-002  2.757064e-004
 8.855599e-002  1.124326e-002  2.747653e-004
 8.879757e-002  1.032235e-002  2.719280e-004
 8.903916e-002  1.088771e-002  2.733061e-004
 8.928075e-002  1.098508e-002  2.736806e-004
 8.952234e-002  1.121326e-002  2.720977e-004
 8.976393e-002  1.096966e-002  2.710458e-004
 9.000552e-002  1.026650e-002  2.702756e-004
 9.024710e-002  1.039048e-002  2.711220e-004
 9.048869e-002  1.018835e-002  2.694574e-004
 9.073028e-002  1.019459e-002  2.662705e-004
 9.097187e-002  1.005558e-002  2.709229e-004
 9.121346e-002  1.000537e-002  2.661652e-004
 9.145505e-002  1.010097e-002  2.687155e-004
 9.169663e-002  1.016396e-002  2.672170e-004
 9.193822e-002  9.038685e-003  2.651011e-004
 9.217981e-002  9.725627e-003  2.658544e-004
 9.242140e-002  9.510533e-003  2.636403e-004
 9.266299e-002  9.246164e-003  2.633579e-004
 9.290458e-002  9.133470e-003  2.655670e-004
 9.314617e-002  9.234252e-003  2.627324e-004
 9.338776e-002  9.349855e-003  2.630924e-004
 9.362934e-002  9.541991e-003  2.652675e-004
 9.387093e-002  8.879076e-003  2.640636e-004
 9.411252e-002  8.516215e-003  2.605408e-004
